Iteration,Interpolation_Time,Mover_Time,Total_Time
1,0.481749,0.144593,0.626342
2,0.481727,0.096332,0.578059
3,0.479920,0.094497,0.574418
4,0.513401,0.090416,0.603817
5,0.481327,0.140474,0.621801
6,0.483055,0.122488,0.605544
7,0.482455,0.100759,0.583214
8,0.481451,0.086326,0.567777
9,0.481193,0.118323,0.599516
10,0.481513,0.087038,0.568551
