Iteration,Interpolation_Time,Mover_Time,Total_Time
1,0.483003,0.334597,0.817600
2,0.480300,0.335531,0.815831
3,0.480759,0.335705,0.816465
4,0.480192,0.334362,0.814554
5,0.482249,0.334724,0.816972
6,0.481490,0.334231,0.815720
7,0.480388,0.335501,0.815889
8,0.480955,0.335395,0.816350
9,0.480250,0.334256,0.814506
10,0.481593,0.334370,0.815963
