System,Approach,Config,Particles,Threads,Total_Interp,Total_Mover,Overall_Time
Lab,Immediate,1,100,1,0.0001,0.000025,0.000124
Lab,Immediate,1,10000,1,0.001059,0.002404,0.003463
Lab,Immediate,1,1000000,1,0.094061,0.24143,0.33549
Lab,Immediate,1,100000000,1,9.289417,23.630174,32.919591
Lab,Immediate,1,1000000000,1,232.829182,378.921054,611.750236
Lab,Immediate,2,100,1,0.000306,0.000024,0.00033
Lab,Immediate,2,10000,1,0.001283,0.002428,0.003712
Lab,Immediate,2,1000000,1,0.103081,0.240057,0.343138
Lab,Immediate,2,100000000,1,9.591419,23.600363,33.191782
Lab,Immediate,2,1000000000,1,244.918098,372.776691,617.694789
Lab,Immediate,3,100,1,0.001516,0.000026,0.001542
Lab,Immediate,3,10000,1,0.002802,0.002417,0.005218
Lab,Immediate,3,1000000,1,0.132124,0.244049,0.376173
Lab,Immediate,3,100000000,1,12.442227,23.629635,36.071862
Lab,Immediate,3,1000000000,1,261.213138,375.757832,636.970969
