System,Approach,Config,Particles,Threads,Total_Interp,Total_Mover,Overall_Time
HPC,Deferred,1,100,1,0.000336,0.000037,0.000373
HPC,Deferred,1,10000,1,0.006112,0.002472,0.008584
HPC,Deferred,1,1000000,1,0.365429,0.154571,0.52
HPC,Deferred,1,100000000,1,30.027647,12.920725,42.948371
HPC,Deferred,1,1000000000,1,302.665325,130.03329,432.698615
HPC,Deferred,2,100,1,0.000981,0.000031,0.001013
HPC,Deferred,2,10000,1,0.006686,0.002425,0.009111
HPC,Deferred,2,1000000,1,0.384251,0.1582,0.54245
HPC,Deferred,2,100000000,1,30.601504,12.852413,43.453917
HPC,Deferred,2,1000000000,1,306.056124,128.701032,434.757156
HPC,Deferred,3,100,1,0.00333,0.000022,0.003352
HPC,Deferred,3,10000,1,0.014872,0.002356,0.017228
HPC,Deferred,3,1000000,1,0.447462,0.151829,0.599292
HPC,Deferred,3,100000000,1,36.194964,13.049828,49.244792
HPC,Deferred,3,1000000000,1,352.18642,130.318158,482.504578
