ProblemSize,AvgE2ETime,AvgAlgoTime,MFLOPS
2,0.000003574,0.000000355,668.103
4,0.000002893,0.000000488,668.103
8,0.000004433,0.000002056,668.103
16,0.000024302,0.000013633,668.103
32,0.000139868,0.000108735,668.103
64,0.000977635,0.000853732,668.103
128,0.007016096,0.006515033,668.103
256,0.052835030,0.050785430,668.103
512,0.410877991,0.402771261,668.103
1024,3.248151073,3.216505905,668.103
2048,25.924546097,25.796399483,668.103
4096,206.538915848,206.036585000,668.103
