Iteration,Interpolation_Time,Mover_Time,Total_Time
1,0.184389,0.329864,0.514253
2,0.184060,0.328136,0.512196
3,0.184482,0.328678,0.513160
4,0.186389,0.331016,0.517405
5,0.184183,0.329082,0.513265
6,0.184762,0.330977,0.515738
7,0.185402,0.331055,0.516457
8,0.186451,0.331819,0.518269
9,0.185051,0.331806,0.516858
10,0.186518,0.329707,0.516225
