ProblemSize,AvgE2ETime,AvgAlgoTime,MFLOPS
2,0.000001105,0.000000356,1183.155
4,0.000001782,0.000000262,1183.155
8,0.000002843,0.000001051,1183.155
16,0.000015486,0.000007223,1183.155
32,0.000093045,0.000058568,1183.155
64,0.000585755,0.000451974,1183.155
128,0.003992515,0.003490255,1183.155
256,0.030163832,0.028167681,1183.155
512,0.224694280,0.216612412,1183.155
1024,1.805975269,1.774643975,1183.155
2048,15.060254464,14.933927485,1183.155
4096,116.770660975,116.275777380,1183.155
