ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000994,0.000000168
4,0.000000923,0.000000285
8,0.000003291,0.000001362
16,0.000019401,0.000010434
32,0.000112786,0.000079167
64,0.000761528,0.000632688
128,0.005438576,0.004930134
256,0.041708278,0.039690648
512,0.322976288,0.314843189
1024,2.789474617,2.757445835
2048,27.979000134,27.851928715
4096,240.378685072,239.879717659
