ProblemSize,AvgE2ETime,AvgAlgoTime,MFLOPS
2,0.000002476,0.000000239,1086.639
4,0.000000953,0.000000325,1086.639
8,0.000002988,0.000001089,1086.639
16,0.000016641,0.000007296,1086.639
32,0.000093705,0.000057688,1086.639
64,0.000592233,0.000456304,1086.639
128,0.004349759,0.003824479,1086.639
256,0.032796508,0.030679829,1086.639
512,0.244028392,0.235170005,1086.639
1024,1.917754622,1.885283698,1086.639
2048,15.882466657,15.757226845,1086.639
4096,126.567876734,126.074627181,1086.639
