ProblemSize,AvgE2ETime,AvgAlgoTime,MFLOPS
2,0.000001107,0.000000254,1168.292
4,0.000001731,0.000000272,1168.292
8,0.000002901,0.000001049,1168.292
16,0.000015990,0.000007613,1168.292
32,0.000088894,0.000058316,1168.292
64,0.000589852,0.000461694,1168.292
128,0.003998067,0.003496960,1168.292
256,0.030691357,0.028689960,1168.292
512,0.229863422,0.221702070,1168.292
1024,1.783826186,1.751845569,1168.292
2048,14.868494178,14.745780003,1168.292
4096,117.144711226,116.651288019,1168.292
