ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000986,0.000000173
4,0.000000905,0.000000271
8,0.000003205,0.000001273
16,0.000019054,0.000010020
32,0.000114427,0.000075233
64,0.000732496,0.000602500
128,0.005214364,0.004708368
256,0.037833379,0.035827196
512,0.281203523,0.272878260
1024,2.184313033,2.152390850
2048,17.931477586,17.805892921
4096,141.769601381,141.272091314
