ProblemSize,AvgE2ETime,AvgAlgoTime,MFLOPS
2,0.000001060,0.000000257,1206.060
4,0.000001691,0.000000288,1206.060
8,0.000002871,0.000001063,1206.060
16,0.000015526,0.000007205,1206.060
32,0.000089142,0.000057545,1206.060
64,0.000575311,0.000443717,1206.060
128,0.003828804,0.003341965,1206.060
256,0.029662726,0.027705014,1206.060
512,0.224855049,0.216802811,1206.060
1024,1.761369300,1.730161944,1206.060
2048,14.632116150,14.509715151,1206.060
4096,114.829227454,114.341198744,1206.060
