ProblemSize,AvgE2ETime,AvgAlgoTime,MFLOPS
2,0.000000967,0.000000141,284.670
4,0.000000889,0.000000278,284.670
8,0.000003165,0.000001293,284.670
16,0.000018099,0.000009698,284.670
32,0.000118420,0.000079931,284.670
64,0.000723247,0.000600031,284.670
128,0.005354682,0.004854096,284.670
256,0.042653888,0.040645380,284.670
512,0.380969874,0.372900813,284.670
1024,3.313650944,3.281959162,284.670
2048,62.531700503,62.405719155,284.670
4096,486.892240023,486.387442048,284.670
